complaint_text,ipc_sections
He sexually harassed me in public and tried to molest me.,354
He threatened to kill me if I report to police.,506
Someone stole my watch from office while I was shopping.,"379,411"
The accused insulted me and provoked me.,"504,323"
The accused tried to force physical contact and misbehaved with me.,354
He threatened to kill me if I report to police.,506
He followed me and touched me without consent.,354
They threw stones and damaged my mobile phone.,427
"He cheated me by taking ₹1,00,000 for a job and never returned it.","420,468"
Someone forged my documents and used them for loan.,468
The accused threatened me with serious consequences.,506
My bag was stolen from my home.,"379,411"
They made forged certificates to get benefits.,"468,471"
Unknown person stole my scooter from bus.,"379,411"
The accused broke my shop glass during a fight.,427
They threw stones and damaged my mobile phone.,427
They used abusive words and humiliated me.,504
"They defrauded me of ₹25,000 using fake documents.",420
I gave my documents for safekeeping but he cheated and kept it.,406
Fake documents were prepared to cheat me.,"468,471"
He abused me using filthy language in public.,"504,323"
He gave death threats and warned me not to complain.,506
"They defrauded me of ₹25,000 using fake documents.","420,468"
They assaulted me and I suffered simple injuries.,323
The accused threatened me with serious consequences.,506
I gave my documents for safekeeping but he cheated and kept it.,"406,420"
The accused tried to force physical contact and misbehaved with me.,354
A group of people stopped me and robbed my gold chain.,"392,506"
Unknown person stole my bag from college.,379
Someone forged my documents and used them for loan.,"468,471"
He abused me using filthy language in public.,"504,323"
He gave death threats and warned me not to complain.,506
The accused kept my cash and is not returning it.,406
I am facing domestic cruelty by my husband and his family.,"498A,406"
He slapped me and I was injured.,323
"They defrauded me of ₹10,000 using fake documents.","420,468"
He hit me with his hand and caused injury.,"323,506"
The accused beat me during an argument and I got pain.,323
Unknown person stole my mobile phone from railway station.,"379,411"
"After marriage, my husband demanded dowry and treated me cruelly.",498A
Someone forged my documents and used them for loan.,"468,471"
My husband and in-laws harassed me for dowry and tortured me.,498A
They used abusive words and humiliated me.,"504,323"
"He collected ₹1,00,000 from me by giving false promises.",420
He gave death threats and warned me not to complain.,506
My mobile phone got stolen near bus at evening.,379
"They defrauded me of ₹25,000 using fake documents.",420
They assaulted me and I suffered simple injuries.,323
They threw stones and damaged my mobile phone.,427
"A person took ₹50,000 promising a business profit and later blocked me.",420
"They defrauded me of ₹50,000 using fake documents.","420,468"
He threatened to kill me if I report to police.,506
He intentionally insulted me leading to breach of peace.,"504,323"
Unknown person stole my scooter from college.,"379,411"
Unknown person stole my bike from parking area.,379
They used force and took my gold chain from me.,"392,506"
The accused insulted me and provoked me.,"504,323"
My watch got stolen near market at morning.,379
"A person took ₹2,00,000 promising a business profit and later blocked me.",420
He slapped me and I was injured.,323
They threatened my family if we take legal action.,506
My friend took my documents and refused to return it.,406
"He cheated me by taking ₹2,00,000 for a job and never returned it.",420
They threatened my family if we take legal action.,506
He intentionally insulted me leading to breach of peace.,504
"He cheated me by taking ₹2,00,000 for a job and never returned it.","420,468"
The accused insulted me and provoked me.,504
He damaged my mobile phone intentionally.,427
The accused insulted me and provoked me.,504
The accused beat me during an argument and I got pain.,"323,506"
They assaulted me and I suffered simple injuries.,323
He damaged my car intentionally.,427
The accused submitted fake documents as original.,471
A man touched me inappropriately and outraged my modesty.,"354,506"
He damaged my mobile phone intentionally.,427
The accused tried to force physical contact and misbehaved with me.,"354,506"
"After marriage, my husband demanded dowry and treated me cruelly.",498A
"A person took ₹1,00,000 promising a business profit and later blocked me.",420
My friend took my cash and refused to return it.,406
My husband and in-laws harassed me for dowry and tortured me.,498A
The accused submitted fake documents as original.,471
The accused tried to force physical contact and misbehaved with me.,354
They used abusive words and humiliated me.,504
He threatened to kill me if I report to police.,506
They used force and took my wallet from me.,392
My in-laws are mentally and physically harassing me for money.,498A
A group of people stopped me and robbed my phone.,392
A group of people stopped me and robbed my gold chain.,392
I am facing domestic cruelty by my husband and his family.,"498A,406"
He misused my bike entrusted to him and did not give it back.,406
Someone stole my scooter from college while I was working.,"379,411"
Someone used forged papers to claim a loan.,471
"They defrauded me of ₹1,00,000 using fake documents.",420
He threatened to kill me if I report to police.,506
They used fake certificates to obtain government benefit.,471
They threatened my family if we take legal action.,506
A man touched me inappropriately and outraged my modesty.,354
My bag got stolen near shop at night.,379
They used abusive words and humiliated me.,504
Unknown person stole my watch from market.,"379,411"
My wallet got stolen near bus at evening.,379
"He collected ₹1,00,000 from me by giving false promises.",420
"He collected ₹1,00,000 from me by giving false promises.",420
They used fake certificates to obtain a job.,471
Unknown person stole my vehicle from parking area.,379
"After marriage, my husband demanded dowry and treated me cruelly.","498A,406"
The accused kept my documents and is not returning it.,"406,420"
They used abusive words and humiliated me.,504
"He collected ₹1,00,000 from me by giving false promises.",420
My friend took my bike and refused to return it.,406
The accused beat me during an argument and I got pain.,323
Unknown persons threatened me and snatched my bag.,392
I was robbed near bus stop and my phone was taken.,392
"He collected ₹2,00,000 from me by giving false promises.","420,468"
They made forged certificates to get benefits.,"468,471"
Someone forged my documents and used them for loan.,"468,471"
I gave my cash for safekeeping but he cheated and kept it.,406
"They defrauded me of ₹50,000 using fake documents.",420
Unknown person stole my gold chain from railway station.,379
The accused submitted fake documents as original.,471
Fake documents were prepared to cheat me.,"468,471"
I was robbed near ATM and my gold chain was taken.,392
I gave my phone for safekeeping but he cheated and kept it.,"406,420"
They assaulted me and I suffered simple injuries.,323
They threw stones and damaged my house window.,427
Someone stole my bike from parking area while I was talking on phone.,"379,411"
A man touched me inappropriately and outraged my modesty.,"354,506"
My bike was stolen from my office.,379
"After marriage, my husband demanded dowry and treated me cruelly.",498A
They threw stones and damaged my car.,427
The accused insulted me and provoked me.,"504,323"
"He cheated me by taking ₹10,000 for a job and never returned it.",420
They used force and took my gold chain from me.,392
"A person took ₹10,000 promising a business profit and later blocked me.",420
They used abusive words and humiliated me.,504
Fake documents were prepared to cheat me.,"468,471"
They used fake certificates to obtain a loan.,471
The accused kept my bike and is not returning it.,"406,420"
They used abusive words and humiliated me.,504
He followed me and touched me without consent.,354
He abused me using filthy language in public.,"504,323"
They made forged certificates to get benefits.,"468,471"
"A person took ₹1,00,000 promising a business profit and later blocked me.",420
He abused me using filthy language in public.,"504,323"
Unknown persons threatened me and snatched my phone.,392
He used a forged document as genuine for a job.,471
Someone stole my mobile phone from parking area while I was waiting.,379
They threatened my family if we take legal action.,506
They used abusive words and humiliated me.,504
The accused beat me during an argument and I got pain.,323
They threatened my family if we take legal action.,506
The accused kept my documents and is not returning it.,"406,420"
He hit me with his hand and caused injury.,323
My watch got stolen near market at night.,"379,411"
I am facing domestic cruelty by my husband and his family.,498A
He sexually harassed me in public and tried to molest me.,"354,506"
Unknown persons threatened me and snatched my gold chain.,392
A group of people stopped me and robbed my bag.,392
My friend took my cash and refused to return it.,406
My gold chain was stolen from my office.,"379,411"
My in-laws are mentally and physically harassing me for money.,498A
Someone forged my documents and used them for loan.,468
They used force and took my gold chain from me.,"392,506"
Someone forged my documents and used them for loan.,468
Someone forged my documents and used them for loan.,"468,471"
I was robbed near market and my gold chain was taken.,392
They threatened my family if we take legal action.,506
The accused insulted me and provoked me.,"504,323"
The accused tried to force physical contact and misbehaved with me.,354
Someone forged my documents and used them for loan.,468
He misused my bike entrusted to him and did not give it back.,406
He used a forged document as genuine for government benefit.,471
He sexually harassed me in public and tried to molest me.,354
He hit me with his hand and caused injury.,323
Someone stole my wallet from shop while I was waiting.,"379,411"
The accused threatened me with serious consequences.,506
He sexually harassed me in public and tried to molest me.,"354,506"
He used a forged document as genuine for property registration.,471
They made forged certificates to get benefits.,468
They used abusive words and humiliated me.,504
The accused created fake documents for cheating purposes.,"468,471"
"He collected ₹2,00,000 from me by giving false promises.","420,468"
Unknown person stole my gold chain from office.,"379,411"
Unknown person stole my mobile phone from market.,"379,411"
"They defrauded me of ₹50,000 using fake documents.",420
The accused insulted me and provoked me.,"504,323"
The accused created fake documents for cheating purposes.,"468,471"
He sexually harassed me in public and tried to molest me.,354
My husband and in-laws harassed me for dowry and tortured me.,498A
Unknown persons threatened me and snatched my wallet.,"392,506"
Someone stole my gold chain from bus while I was talking on phone.,379
"He cheated me by taking ₹50,000 for a job and never returned it.",420
He sexually harassed me in public and tried to molest me.,354
The accused beat me during an argument and I got pain.,323
He followed me and touched me without consent.,"354,506"
Unknown person stole my scooter from parking area.,"379,411"
The accused kept my cash and is not returning it.,406
Someone used forged papers to claim government benefit.,471
My in-laws are mentally and physically harassing me for money.,498A
My laptop got stolen near shop at night.,379
He misused my cash entrusted to him and did not give it back.,406
Unknown person stole my bag from home.,"379,411"
"After marriage, my husband demanded dowry and treated me cruelly.","498A,406"
My friend took my phone and refused to return it.,406
He sexually harassed me in public and tried to molest me.,354
The accused insulted me and provoked me.,"504,323"
He hit me with his hand and caused injury.,323
"He collected ₹25,000 from me by giving false promises.",420
Unknown person stole my bag from bus.,379
The accused insulted me and provoked me.,504
"They defrauded me of ₹2,00,000 using fake documents.",420
Unknown persons threatened me and snatched my phone.,392
The accused broke my house window during a fight.,427
The accused threatened me with serious consequences.,506
"He cheated me by taking ₹2,00,000 for a job and never returned it.",420
He used a forged document as genuine for property registration.,471
The accused tried to force physical contact and misbehaved with me.,"354,506"
"After marriage, my husband demanded dowry and treated me cruelly.",498A
Someone used forged papers to claim government benefit.,471
He threatened to kill me if I report to police.,506
He followed me and touched me without consent.,"354,506"
He sexually harassed me in public and tried to molest me.,"354,506"
My friend took my laptop and refused to return it.,406
The accused kept my laptop and is not returning it.,"406,420"
He damaged my car intentionally.,427
He slapped me and I was injured.,323
He damaged my car intentionally.,427
He misused my laptop entrusted to him and did not give it back.,406
Someone forged my documents and used them for loan.,468
The accused tried to force physical contact and misbehaved with me.,"354,506"
The accused threatened me with serious consequences.,506
They used force and took my phone from me.,"392,506"
I am facing domestic cruelty by my husband and his family.,498A
I am facing domestic cruelty by my husband and his family.,"498A,406"
The accused insulted me and provoked me.,"504,323"
Someone stole my bike from shop while I was shopping.,379
Someone used forged papers to claim government benefit.,471
He abused me using filthy language in public.,"504,323"
My vehicle got stolen near market at evening.,379
The accused kept my documents and is not returning it.,406
He sexually harassed me in public and tried to molest me.,354
They assaulted me and I suffered simple injuries.,323
He slapped me and I was injured.,"323,506"
My in-laws are mentally and physically harassing me for money.,498A
They made forged certificates to get benefits.,468
He abused me using filthy language in public.,504
He intentionally insulted me leading to breach of peace.,"504,323"
A man touched me inappropriately and outraged my modesty.,354
Someone forged my documents and used them for loan.,"468,471"
He slapped me and I was injured.,"323,506"
Someone damaged my mobile phone causing loss.,427
The accused insulted me and provoked me.,"504,323"
He sexually harassed me in public and tried to molest me.,"354,506"
The accused created fake documents for cheating purposes.,"468,471"
The accused beat me during an argument and I got pain.,323
I am facing domestic cruelty by my husband and his family.,498A
My scooter was stolen from my railway station.,379
Fake documents were prepared to cheat me.,468
He hit me with his hand and caused injury.,"323,506"
They assaulted me and I suffered simple injuries.,"323,506"
"He cheated me by taking ₹10,000 for a job and never returned it.","420,468"
"After marriage, my husband demanded dowry and treated me cruelly.","498A,406"
Fake documents were prepared to cheat me.,"468,471"
He gave death threats and warned me not to complain.,506
They assaulted me and I suffered simple injuries.,"323,506"
Unknown person stole my watch from home.,379
The accused threatened me with serious consequences.,506
"After marriage, my husband demanded dowry and treated me cruelly.",498A
He slapped me and I was injured.,323
They used abusive words and humiliated me.,504
I am facing domestic cruelty by my husband and his family.,498A
Someone damaged my shop glass causing loss.,427
"He cheated me by taking ₹2,00,000 for a job and never returned it.",420
The accused insulted me and provoked me.,"504,323"
"A person took ₹50,000 promising a business profit and later blocked me.",420
The accused kept my phone and is not returning it.,"406,420"
I am facing domestic cruelty by my husband and his family.,"498A,406"
He damaged my car intentionally.,427
The accused insulted me and provoked me.,504
"After marriage, my husband demanded dowry and treated me cruelly.",498A
Someone forged my documents and used them for loan.,468
The accused threatened me with serious consequences.,506
My bike was stolen from my railway station.,"379,411"
The accused beat me during an argument and I got pain.,"323,506"
He used a forged document as genuine for a loan.,471
He slapped me and I was injured.,323
My husband and in-laws harassed me for dowry and tortured me.,"498A,406"
He intentionally insulted me leading to breach of peace.,504
The accused created fake documents for cheating purposes.,"468,471"
He hit me with his hand and caused injury.,"323,506"
Someone used forged papers to claim government benefit.,471
Someone stole my gold chain from railway station while I was working.,"379,411"
They used force and took my gold chain from me.,"392,506"
The accused tried to force physical contact and misbehaved with me.,354
Fake documents were prepared to cheat me.,468
Someone forged my documents and used them for loan.,468
Unknown person stole my scooter from market.,379
The accused broke my car during a fight.,427
"After marriage, my husband demanded dowry and treated me cruelly.",498A
The accused broke my shop glass during a fight.,427
My bag was stolen from my home.,379
They threatened my family if we take legal action.,506
Someone damaged my mobile phone causing loss.,427
"After marriage, my husband demanded dowry and treated me cruelly.",498A
"They defrauded me of ₹25,000 using fake documents.",420
Unknown person stole my scooter from market.,"379,411"
My friend took my cash and refused to return it.,"406,420"
My laptop got stolen near college at morning.,379
The accused broke my house window during a fight.,427
The accused submitted fake documents as original.,471
He slapped me and I was injured.,"323,506"
The accused broke my house window during a fight.,427
They used abusive words and humiliated me.,504
The accused tried to force physical contact and misbehaved with me.,"354,506"
He gave death threats and warned me not to complain.,506
The accused insulted me and provoked me.,504
My in-laws are mentally and physically harassing me for money.,498A
The accused created fake documents for cheating purposes.,468
"He collected ₹2,00,000 from me by giving false promises.",420
The accused threatened me with serious consequences.,506
"He collected ₹10,000 from me by giving false promises.",420
Someone stole my watch from parking area while I was shopping.,"379,411"
The accused kept my bike and is not returning it.,406
My laptop got stolen near shop at night.,"379,411"
He misused my phone entrusted to him and did not give it back.,"406,420"
I am facing domestic cruelty by my husband and his family.,498A
He intentionally insulted me leading to breach of peace.,"504,323"
Fake documents were prepared to cheat me.,"468,471"
Fake documents were prepared to cheat me.,468
The accused submitted fake documents as original.,471
I was robbed near street and my gold chain was taken.,392
They assaulted me and I suffered simple injuries.,323
He misused my documents entrusted to him and did not give it back.,"406,420"
I was robbed near market and my wallet was taken.,392
The accused submitted fake documents as original.,471
I gave my laptop for safekeeping but he cheated and kept it.,406
"After marriage, my husband demanded dowry and treated me cruelly.","498A,406"
They made forged certificates to get benefits.,"468,471"
He sexually harassed me in public and tried to molest me.,"354,506"
He damaged my shop glass intentionally.,427
I gave my bike for safekeeping but he cheated and kept it.,406
They threatened my family if we take legal action.,506
He slapped me and I was injured.,323
My in-laws are mentally and physically harassing me for money.,498A
My wallet was stolen from my shop.,379
The accused tried to force physical contact and misbehaved with me.,354
He intentionally insulted me leading to breach of peace.,"504,323"
The accused broke my house window during a fight.,427
The accused threatened me with serious consequences.,506
The accused beat me during an argument and I got pain.,323
The accused broke my bike during a fight.,427
They used fake certificates to obtain government benefit.,471
The accused broke my house window during a fight.,427
"He collected ₹1,00,000 from me by giving false promises.",420
He misused my cash entrusted to him and did not give it back.,406
They used abusive words and humiliated me.,"504,323"
They used abusive words and humiliated me.,"504,323"
My friend took my gold and refused to return it.,406
He gave death threats and warned me not to complain.,506
My bag was stolen from my parking area.,379
My laptop was stolen from my market.,379
The accused created fake documents for cheating purposes.,468
They threatened my family if we take legal action.,506
The accused threatened me with serious consequences.,506
The accused broke my mobile phone during a fight.,427
Someone forged my documents and used them for loan.,468
Someone damaged my bike causing loss.,427
"He cheated me by taking ₹1,00,000 for a job and never returned it.",420
He hit me with his hand and caused injury.,323
The accused created fake documents for cheating purposes.,"468,471"
He damaged my house window intentionally.,427
They threatened my family if we take legal action.,506
"He cheated me by taking ₹25,000 for a job and never returned it.","420,468"
I was robbed near market and my gold chain was taken.,392
My friend took my bike and refused to return it.,406
He used a forged document as genuine for a loan.,471
Someone used forged papers to claim a loan.,471
Unknown persons threatened me and snatched my wallet.,392
The accused submitted fake documents as original.,471
They used force and took my bag from me.,"392,506"
He followed me and touched me without consent.,354
He slapped me and I was injured.,"323,506"
I was robbed near street and my gold chain was taken.,392
Fake documents were prepared to cheat me. It happened suddenly.,"468,471"
He sexually harassed me in public and tried to molest me. Please register a case.,"354,506"
The accused created fake documents for cheating purposes. I request legal action.,"468,471"
He gave death threats and warned me not to complain.,506
The accused insulted me and provoked me. The accused escaped immediately.,"504,323"
He used a forged document as genuine for property registration.,471
He sexually harassed me in public and tried to molest me.,"354,506"
Unknown persons warned me and snatched my phone.,392
"A person took ₹1,00,000 promising a bus stopiness profit and later blocked me. Please register a case.",420
"They defrauded me of ₹50,000 using fake documents.",420
Fake documents were prepared to cheat me.,468
He gave death threats and warned me not to complain. The accused escaped immediately.,506
"He collected ₹25,000 from me by giving false promises. It happened suddenly.",420
He slapped me and I was injured. Please register a case.,"323,506"
He followed me and touched me without consent. The accused escaped immediately.,354
They used abusive words and humiliated me.,504
He intentionally insulted me leading to breach of peace.,"504,323"
I am facing domestic cruelty by my husband and his family. The accused escaped immediately.,498A
He used a forged document as genuine for a loan.,471
They threw stones and destroyed my house window. I request legal action.,427
The accused broke my phone during a fight. Please register a case.,427
My husband and in-laws harassed me for dowry and tortured me. The accused escaped immediately.,498A
"He cheated me by taking ₹10,000 for a job and never returned it. Please register a case.",420
They assaulted me and I suffered simple injuries.,"323,506"
Someone forged my documents and used them for loan. I request legal action.,"468,471"
They used force and took my bag from me.,"392,506"
They threw stones and destroyed my phone. It happened suddenly.,427
A group of people stopped me and mugged my phone. The accused escaped immediately.,392
Unknown persons intimidated me and snatched my bag. Please register a case.,392
Unknown person stolen my vehicle from parking. Please register a case.,379
They used fake certificates to obtain government benefit.,471
Unknown person snatched my two-wheeler from local market. It happened suddenly.,"379,411"
He threatened to kill me if I report to police.,506
A man touched me inappropriately and outraged my modesty. The accused escaped immediately.,354
My bag was snatchedn from my parking lot. The accused escaped immediately.,379
He apublic bused me using filthy language in public. It happened suddenly.,504
He beat me with his hand and caused wound. It happened suddenly.,323
The accused tried to force physical contact and misbehaved with me.,"354,506"
He slapped me and I was injured. Please register a case.,323
They used apublic busive words and humiliated me. The accused escaped immediately.,504
I am facing domestic cruelty by my husband and his family. Please register a case.,498A
The accused created fake documents for cheating purposes. Please register a case.,468
Someone used forged papers to claim a loan.,471
He damaged my car intentionally.,427
Someone forged my documents and used them for loan. The accused escaped immediately.,468
Unknown person took away my vehicle from bazaar. The accused escaped immediately.,379
They used abus stopive words and humiliated me. I request legal action.,504
He warned to kill me if I report to police. Please register a case.,506
The accused threatened me with serious consequences.,506
The accused beat me during an argument and I got pain.,323
Someone used forged papers to claim government benefit. I request legal action.,471
"After marriage, my husband demanded dowry and treated me cruelly.",498A
He slapped me and I was injured. The accused escaped immediately.,323
He gave death threats and warned me not to complain.,506
My friend took my two-wheeler and refused to return it. I request legal action.,406
"After marriage, my husband demanded dowry and treated me cruelly.",498A
He slapped me and I was injured.,"323,506"
Someone took away my watch from parking lot while I was shopping.,"379,411"
He sexually harassed me in public and tried to molest me. It happened suddenly.,354
They warned my family if we take legal action. I request legal action.,506
My husband and in-laws harassed me for dowry and tortured me.,498A
My bag was stolen from my home.,379
They threw stones and destroyed my phone. It happened suddenly.,427
Someone forged my documents and used them for loan. Please register a case.,468
They made forged certificates to get benefits.,"468,471"
He assaulted me with his hand and caused hurt. It happened suddenly.,323
"A person took ₹2,00,000 promising a bus stopiness profit and later blocked me. Please register a case.",420
They intimidated my family if we take legal action. The accused escaped immediately.,506
He abused me using filthy language in public.,"504,323"
"They defrauded me of ₹25,000 using fake documents. It happened suddenly.",420
"After marriage, my husband demanded dowry and treated me cruelly.",498A
The accused insulted me and provoked me.,"504,323"
The accused kept my laptop and is not returning it.,"406,420"
The accused insulted me and provoked me.,"504,323"
The accused kept my cash and is not returning it.,406
The accused beat me during an argument and I got pain. It happened suddenly.,"323,506"
Unknown person took away my gold chain from workplace. Please register a case.,"379,411"
He damaged my car intentionally.,427
The accused created fake documents for cheating purposes. It happened suddenly.,"468,471"
I was looted near local market and my gold chain was taken. The accused escaped immediately.,392
They used abus stopive words and humiliated me.,504
"He cheated me by taking ₹10,000 for a job and never returned it. It happened suddenly.",420
The accused tried to force physical contact and misbehaved with me.,354
The accused tried to force physical contact and misbehaved with me. It happened suddenly.,354
He sexually harassed me in public and tried to molest me.,354
Someone damaged my mobile phone causing loss.,427
He gave death threats and warned me not to complain. Please register a case.,506
He gave death threats and warned me not to complain.,506
He beat me with his hand and caused wound.,323
They made forged certificates to get benefits.,"468,471"
My friend took my motorcycle and refused to return it.,406
He intentionally insulted me leading to breach of peace. It happened suddenly.,"504,323"
They assaulted me and I suffered simple injuries.,323
My two-wheeler was took awayn from my workplace.,379
Unknown persons threatened me and snatched my bag.,392
They used force and took my bag from me. The accused escaped immediately.,"392,506"
Unknown person stole my scooter from parking area.,"379,411"
He sexually harassed me in public and tried to molest me.,"354,506"
"He collected ₹1,00,000 from me by giving false promises.",420
My bag was stolen from my parking area.,379
My in-laws are mentally and physically harassing me for money. It happened suddenly.,498A
He assaulted me with his hand and caused wound. The accused escaped immediately.,"323,506"
My laptop got stolen near shop at night.,"379,411"
He misused my cash entrusted to him and did not give it back. Please register a case.,406
Someone broke my smartphone causing loss. The accused escaped immediately.,427
Someone forged my documents and used them for loan. I request legal action.,"468,471"
He intentionally insulted me leading to breach of peace. I request legal action.,"504,323"
The accused insulted me and provoked me. Please register a case.,"504,323"
The accused insulted me and provoked me.,"504,323"
The accused insulted me and provoked me.,"504,323"
The accused intimidated me with serious consequences.,506
Unknown person stolen my vehicle from shopping area.,"379,411"
He slapped me and I was injured. Please register a case.,323
My friend took my gold and refused to return it.,406
He damaged my shop glass intentionally.,427
He apublic bused me using filthy language in public. It happened suddenly.,"504,323"
The accused insulted me and provoked me.,"504,323"
They assaulted me and I suffered simple injuries.,323
He sexually harassed me in public and tried to molest me.,354
Unknown person took away my vehicle from parking. Please register a case.,379
The accused insulted me and provoked me. It happened suddenly.,"504,323"
He intimidated to kill me if I report to police. The accused escaped immediately.,506
"They defrauded me of ₹2,00,000 using fake documents. I request legal action.",420
The accused warned me with serious consequences. Please register a case.,506
He apublic bused me using filthy language in public. The accused escaped immediately.,"504,323"
My in-laws are mentally and physically harassing me for money.,498A
My friend took my phone and refused to return it. The accused escaped immediately.,406
He apublic bused me using filthy language in public.,"504,323"
The accused broke my shop glass during a fight.,427
The accused intimidated me with serious consequences.,506
"A person took ₹50,000 promising a bus stopiness profit and later blocked me.",420
They used abusive words and humiliated me.,504
He misused my two-wheeler entrusted to him and did not give it back. I request legal action.,406
The accused insulted me and provoked me. I request legal action.,504
He broke my house window intentionally.,427
The accused created fake documents for cheating purposes. Please register a case.,"468,471"
They intimidated my family if we take legal action.,506
Someone forged my documents and used them for loan. I request legal action.,"468,471"
The accused kept my documents and is not returning it. I request legal action.,"406,420"
He misused my phone entrusted to him and did not give it back. I request legal action.,"406,420"
I am facing domestic cruelty by my husband and his family. It happened suddenly.,498A
My bag was stolenn from my home. Please register a case.,379
The accused broke my car during a fight. It happened suddenly.,427
A man touched me inappropriately and outraged my modesty. The accused escaped immediately.,"354,506"
Unknown person stolen my two-wheeler from college.,"379,411"
The accused created fake documents for cheating purposes.,"468,471"
Unknown persons warned me and snatched my gold chain.,392
The accused broke my house window during a fight.,427
"After marriage, my husband demanded dowry and treated me cruelly.","498A,406"
"He cheated me by taking ₹2,00,000 for a job and never returned it.","420,468"
He followed me and touched me without consent.,354
I gave my documents for safekeeping but he cheated and kept it. I request legal action.,406
Unknown person stole my scooter from market.,"379,411"
"They defrauded me of ₹25,000 using fake documents. Please register a case.",420
Someone forged my documents and used them for loan.,468
The accused insulted me and provoked me. The accused escaped immediately.,504
The accused tried to force physical contact and misbehaved with me.,354
I am facing domestic cruelty by my husband and his family.,498A
My wallet got took awayn near public bus at evening.,379
"He cheated me by taking ₹2,00,000 for a job and never returned it.",420
A group of people stopped me and looted my bag.,392
I gave my vehicle for safekeeping but he cheated and kept it. It happened suddenly.,406
He broke my cell phone intentionally. The accused escaped immediately.,427
Unknown persons warned me and snatched my phone. Please register a case.,392
I am facing domestic cruelty by my husband and his family.,"498A,406"
My husband and in-laws harassed me for dowry and tortured me.,498A
Fake documents were prepared to cheat me. The accused escaped immediately.,468
"They defrauded me of ₹25,000 using fake documents. Please register a case.",420
He damaged my house window intentionally.,427
He broke my cell phone intentionally. I request legal action.,427
My in-laws are mentally and physically harassing me for money. Please register a case.,498A
They used force and took my gold chain from me. It happened suddenly.,"392,506"
"He cheated me by taking ₹2,00,000 for a job and never returned it. Please register a case.","420,468"
He intentionally insulted me leading to breach of peace. Please register a case.,"504,323"
"After marriage, my husband demanded dowry and treated me cruelly. Please register a case.","498A,406"
The accused kept my phone and is not returning it.,"406,420"
My scooter got stolen near parking area at evening.,"379,411"
The accused insulted me and provoked me. It happened suddenly.,"504,323"
The accused submitted fake documents as original. The accused escaped immediately.,471
"He cheated me by taking ₹1,00,000 for a job and never returned it.",420
The accused broke my cell phone during a fight.,427
The accused broke my shop glass during a fight. Please register a case.,427
They threw stones and broke my cell phone. The accused escaped immediately.,427
A man touched me inappropriately and outraged my modesty. It happened suddenly.,354
He threatened to kill me if I report to police.,506
He assaulted me with his hand and caused wound. I request legal action.,323
My bag was snatchedn from my home. The accused escaped immediately.,"379,411"
